book_id,title,author,num_sells,type
778312429,"Sacred Evil (Krewe of Hunters, Book 3)",Heather Graham,17,"Mystery, Thriller & Suspense"
956786510,"Giants on Record: America's Hidden History, Secrets in the Mounds and the Smithsonian Files",Jim Vieira,17,"Mystery, Thriller & Suspense"
684812177,Ross MacDonald : A Biography,Tom Nolan,17,"Mystery, Thriller & Suspense"
1516828410,Paws and Effect (Mystic Notch Cozy Mystery Series) (Volume 4),Leighann Dobbs,17,"Mystery, Thriller & Suspense"
312567073,Carrion Comfort,Dan Simmons,17,"Mystery, Thriller & Suspense"
425217825,"The Beautiful Cigar Girl: Mary Rogers, Edgar Allan Poe, and the Invention of Murder",Daniel Stashower,17,"Mystery, Thriller & Suspense"
553418025,Martian,Andy Weir,17,"Mystery, Thriller & Suspense"
385333471,"God Bless You, Mr. Rosewater: A Novel",Kurt Vonnegut,17,"Mystery, Thriller & Suspense"
1250101190,The Revenant: A Novel of Revenge,Michael Punke,17,"Mystery, Thriller & Suspense"
1476728038,Injustice: A Novel,Lee Goodman,17,"Mystery, Thriller & Suspense"
1501104527,The Keeper: A Novel,John Lescroart,17,"Mystery, Thriller & Suspense"
345527798,Wicked Business: A Lizzy and Diesel Novel (Lizzy & Diesel),Janet Evanovich,17,"Mystery, Thriller & Suspense"
1933354917,Boston Noir (Akashic Noir),Martian,17,"Mystery, Thriller & Suspense"
316216860,The Shining Girls: A Novel,Lauren Beukes,17,"Mystery, Thriller & Suspense"
670026700,Aunt Dimity and the Summer King,Nancy Atherton,17,"Mystery, Thriller & Suspense"
62237101,Hunting Shadows: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries),Charles Todd,17,"Mystery, Thriller & Suspense"
399174680,Scandalous Behavior (A Stone Barrington Novel),Stuart Woods,17,"Mystery, Thriller & Suspense"
1939454654,Age of Distraction: The Island,Patricia Mahon,17,"Mystery, Thriller & Suspense"
1604601604,The Ghostly Quilts on Main (Colebridge Communities),Ann Hazelwood,17,"Mystery, Thriller & Suspense"
399166726,Saving Jason (A Jason Stafford Novel),Michael Sears,17,"Mystery, Thriller & Suspense"
62073508,Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries),Agatha Christie,17,"Mystery, Thriller & Suspense"
