book_id,books_count,authors,original_publication_year,title,language_code,average_rating,image_url
31,183,Kathryn Stockett,2009,The Help,eng,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,373,John Steinbeck,1937,Of Mice and Men,eng,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg
33,220,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,169,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,458,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg
36,192,Lois Lowry,1993,"The Giver (The Giver, #1)",eng,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,474,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,167,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,101,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,185,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,159,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,1707,Louisa May Alcott,1868,"Little Women (Little Women, #1)",en-US,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,2568,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,190,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",eng,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,264,Yann Martel,2001,Life of Pi,,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,128,Sara Gruen,2006,Water for Elephants,eng,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,251,Markus Zusak,2005,The Book Thief,eng,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,507,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,194,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,45,Shel Silverstein,1974,Where the Sidewalk Ends,eng,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,178,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",eng,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,185,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",en-US,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,217,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,257,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg
55,515,Aldous Huxley,1932,Brave New World,eng,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,183,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",en-US,3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,125,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,2277,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,180,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,183,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,14,Paula Hawkins,2015,The Girl on the Train,eng,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,287,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",eng,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,2498,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,125,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,241,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,409,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,197,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,128,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,164,Veronica Roth,2012,"Insurgent (Divergent, #2)",eng,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,224,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",eng,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,eng,3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,289,Stephen King,1977,The Shining (The Shining #1),eng,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,161,Stephenie Meyer,2008,"The Host (The Host, #1)",en-US,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,187,John Green,2005,Looking for Alaska,eng,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,193,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,1969,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,138,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",eng,3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,129,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,eng,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,eng,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,92,Jeannette Walls,2005,The Glass Castle,eng,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,108,Jon Krakauer,1996,Into the Wild,eng,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,176,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",spa,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,81,Shel Silverstein,1964,The Giving Tree,eng,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,158,John Grisham,1989,A Time to Kill,eng,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,109,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),eng,4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,178,John Green,2008,Paper Towns,en-US,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,129,William Goldman,1973,The Princess Bride ,en-US,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,156,S.E. Hinton,1967,The Outsiders,en-US,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,147,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",eng,4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,124,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,1350,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,555,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,eng,4.04,https://images.gr-assets.com/books/1327881361m/320.jpg
95,2303,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,133,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,2207,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,209,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,147,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,39,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,59,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,110,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,1310,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,eng,4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,181,Cormac McCarthy,2006,The Road,eng,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,153,Veronica Roth,2013,"Allegiant (Divergent, #3)",eng,3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,48,Tina Fey,2011,Bossypants,eng,3.94,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,131,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,144,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,202,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,98,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,168,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",eng,4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,251,Joseph Heller,1961,Catch-22,en-US,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,172,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,125,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,2448,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,165,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,126,Amy Tan,1989,The Joy Luck Club,eng,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,236,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,93,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,370,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,80,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,11,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",eng,3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,151,Emma Donoghue,2010,Room,eng,4.03,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,1929,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,eng,4,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,241,Frank Herbert,1965,Dune (Dune Chronicles #1),eng,4.19,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,100,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,190,Walter Isaacson,2011,Steve Jobs,eng,4.09,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,275,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,666,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,381,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,123,Mitch Albom,2003,The Five People You Meet in Heaven,,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,1314,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,122,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,175,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,75,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,189,Diana Gabaldon,1991,"Outlander (Outlander, #1)",eng,4.2,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,1579,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,155,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,193,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,148,Andy Weir,2012,The Martian,eng,4.39,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,255,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,139,Anthony Doerr,2014,All the Light We Cannot See,eng,4.31,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,16,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,180,Dan Brown,2001,Deception Point,eng,3.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,108,Donna Tartt,2013,The Goldfinch,eng,3.87,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,150,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,169,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,130,Gayle Forman,2009,"If I Stay (If I Stay, #1)",en-US,3.96,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,80,Anita Diamant,1997,The Red Tent,en-US,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,121,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,111,Nicholas Sparks,2006,Dear John,en-US,4.01,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,125,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,1732,William Shakespeare,1606,Macbeth,eng,3.88,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,453,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,65,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,72,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,4.29,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,338,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,92,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,1725,Charles Dickens,1860,Great Expectations,eng,3.75,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,470,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,675,"Albert Camus, Matthew    Ward",1942,The Stranger,eng,3.96,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,72,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,103,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,176,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,84,Ally Condie,2010,"Matched (Matched, #1)",eng,3.68,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,196,Neil Gaiman,2001,"American Gods (American Gods, #1)",eng,4.11,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,195,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4.34,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,95,Nicholas Sparks,2008,The Last Song,en-GB,4.14,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,185,Dan Brown,1998,Digital Fortress,en-GB,3.6,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,1710,"Jane Austen, Fiona Stafford",1815,Emma,eng,3.99,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,1492,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,eng,4.02,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,283,Anthony Burgess,1962,A Clockwork Orange,eng,3.98,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,134,William Paul Young,2007,The Shack,eng,3.74,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,87,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,7,Stephen King,1986,It,en-US,4.18,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,1714,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,eng,4.18,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,246,Sylvia Plath,1963,The Bell Jar,en-US,3.98,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,184,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,972,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,223,Truman Capote,1965,In Cold Blood,eng,4.05,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,119,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,103,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,242,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,119,Erin Morgenstern,2011,The Night Circus,eng,4.03,https://images.gr-assets.com/books/1387124618m/9361589.jpg
186,111,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,https://images.gr-assets.com/books/1355932638m/37470.jpg
187,98,Scott Westerfeld,2005,"Uglies (Uglies, #1)",eng,3.86,https://images.gr-assets.com/books/1443904172m/24770.jpg
188,115,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng,4.31,https://images.gr-assets.com/books/1327885335m/10664113.jpg
189,380,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,https://images.gr-assets.com/books/1411114164m/33.jpg
190,101,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,eng,3.96,https://images.gr-assets.com/books/1453189881m/12262741.jpg
191,90,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,en-US,4.35,https://images.gr-assets.com/books/1442239711m/472331.jpg
192,123,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng,4.55,https://images.gr-assets.com/books/1472068073m/186074.jpg
193,120,Malcolm Gladwell,2008,Outliers: The Story of Success,en-US,4.11,https://images.gr-assets.com/books/1344266315m/3228917.jpg
194,1823,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",eng,3.46,https://images.gr-assets.com/books/1327940656m/153747.jpg
195,116,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,https://images.gr-assets.com/books/1351979318m/2728527.jpg
196,162,Chuck Palahniuk,1996,Fight Club,eng,4.2,https://images.gr-assets.com/books/1357128997m/5759.jpg
